from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLUHGR,940GZZLUPVL,Hanger Lane,Perivale,Central,Inbound,WB,WB
940GZZLUHGR,940GZZLUNAN,Hanger Lane,North Acton,Central,Outbound,EB,EB
940GZZLUHSN,940GZZLUWJN,Harlesden,Willesden Junction,Bakerloo,Inbound,SB,SB
940GZZLUHSN,940GZZLUSGP,Harlesden,Stonebridge Park,Bakerloo,Outbound,NB,NB
940GZZLUHAW,940GZZLUKEN,Harrow & Wealdstone,Kenton,Bakerloo,Inbound,SB,SB
940GZZLUHOH,940GZZLUNKP,Harrow-On-The-Hill,Northwick Park,Metropolitan,Outbound,SB,SB
940GZZLUHOH,940GZZLUWHW,Harrow-On-The-Hill,West Harrow,Metropolitan,Inbound,NB,NB
940GZZLUHOH,940GZZLUNHA,Harrow-On-The-Hill,North Harrow,Metropolitan,Inbound,NB,NB
940GZZLUHNX,940GZZLUHR4,Hatton Cross,Heathrow Terminal 4,Piccadilly,Inbound,WB,WB
940GZZLUHNX,940GZZLUHRC,Hatton Cross,"""Heathrow Terminals 1,2,3""",Piccadilly,Inbound,WB,WB
940GZZLUHNX,940GZZLUHWT,Hatton Cross,Hounslow West,Piccadilly,Outbound,EB,EB
940GZZLUHR4,940GZZLUHRC,Heathrow Terminal 4,"""Heathrow Terminals 1,2,3""",Piccadilly,Outbound,EB,EB
940GZZLUHR5,940GZZLUHRC,Heathrow Terminal 5,"""Heathrow Terminals 1,2,3""",Piccadilly,Outbound,EB,EB
940GZZLUHCL,940GZZLUCND,Hendon Central,Colindale,Northern,Outbound,NB,NB
940GZZLUHCL,940GZZLUBTX,Hendon Central,Brent Cross,Northern,Inbound,SB,SB
940GZZLUHBT,940GZZLUTAW,High Barnet,Totteridge & Whetstone,Northern,Inbound,SB,SB
940GZZLUHSK,940GZZLUNHG,High Street Kensington,Notting Hill Gate,District,Outbound,EB,EB
940GZZLUHSK,940GZZLUECT,High Street Kensington,Earl's Court,District,Inbound,WB,WB
940GZZLUHSK,940GZZLUNHG,High Street Kensington,Notting Hill Gate,Circle,Outbound,OR,WB
