id,unique_id,name,latitude,longitude,total_lines,fare_zones
146,940GZZLULYS,Leytonstone,51.5683,0.0083,1,3|4
147,HUBLHS,Limehouse,51.5123,-0.0396,1,2
148,HUBLST,Liverpool Street,51.5178,-0.0823,4,1
149,HUBLBG,London Bridge,51.5052,-0.0864,2,1
150,940GZZLULGN,Loughton,51.6412,0.0558,1,6
151,940GZZLUMVL,Maida Vale,51.53,-0.1854,1,2
152,940GZZLUMRH,Manor House,51.5712,-0.0958,1,2|3
153,940GZZLUMSH,Mansion House,51.5122,-0.094,2,1
154,940GZZLUMBA,Marble Arch,51.5136,-0.1586,1,1
155,HUBMYB,Marylebone,51.5225,-0.1631,1,1
156,940GZZLUMED,Mile End,51.5249,-0.0332,3,2
157,940GZZLUMHL,Mill Hill East,51.6082,-0.2103,1,4
158,940GZZLUMMT,Monument,51.5108,-0.0863,2,1
159,940GZZLUMPK,Moor Park,51.6294,-0.432,1,6|7
160,HUBZMG,Moorgate,51.5186,-0.0886,4,1
161,940GZZLUMDN,Morden,51.4022,-0.1948,1,4
162,940GZZLUMTC,Mornington Crescent,51.5342,-0.1387,1,2
163,940GZZDLMUD,Mudchute,51.4902,-0.0145,1,2
164,940GZZLUNDN,Neasden,51.5542,-0.2503,1,3
165,HUBNWX,New Cross,51.4767,-0.0327,1,2
166,HUBNXG,New Cross Gate,51.4757,-0.0402,1,2
167,940GZZLUNBP,Newbury Park,51.5756,0.0899,1,4
168,940GZZLUNAN,North Acton,51.5237,-0.2597,1,2|3
169,940GZZLUNEN,North Ealing,51.5175,-0.2887,1,3
170,940GZZLUNGW,North Greenwich,51.5005,0.0039,1,2|3
171,940GZZLUNHA,North Harrow,51.5846,-0.3626,1,5
172,HUBNWB,North Wembley,51.5621,-0.3034,1,4
173,940GZZLUNFD,Northfields,51.4995,-0.3142,1,3
174,940GZZLUNHT,Northolt,51.5483,-0.3687,1,5
175,940GZZLUNKP,Northwick Park,51.5784,-0.3184,1,4
176,940GZZLUNOW,Northwood,51.6111,-0.424,1,6
177,940GZZLUNWH,Northwood Hills,51.6004,-0.4092,1,6
178,940GZZLUNHG,Notting Hill Gate,51.5094,-0.1967,3,1|2
179,940GZZLUOAK,Oakwood,51.6476,-0.1318,1,5
180,HUBOLD,Old Street,51.5263,-0.0873,1,1
181,940GZZLUOSY,Osterley,51.4813,-0.3522,1,4
182,940GZZLUOVL,Oval,51.4819,-0.113,1,2
183,940GZZLUOXC,Oxford Circus,51.515,-0.1415,3,1
184,HUBPAD,Paddington,51.5154,-0.1755,4,1
185,940GZZLUPKR,Park Royal,51.527,-0.2841,1,3
186,940GZZLUPSG,Parsons Green,51.4753,-0.2011,1,2
187,940GZZLUPVL,Perivale,51.5366,-0.3232,1,4
188,940GZZLUPCO,Pimlico,51.4893,-0.1334,1,1
189,940GZZLUPNR,Pinner,51.5926,-0.3805,1,5
190,940GZZLUPLW,Plaistow,51.5313,0.0172,2,3
191,940GZZDLPOP,Poplar,51.5077,-0.0173,1,2
192,940GZZLUPRD,Preston Road,51.572,-0.2954,1,4
193,940GZZDLPRE,Prince Regent,51.5093,0.0336,1,3
194,940GZZDLPUD,Pudding Mill Lane,51.5343,-0.0139,1,2|3
195,940GZZLUPYB,Putney Bridge,51.4682,-0.2089,1,2
196,HUBQPW,Queen's Park,51.5341,-0.2047,1,2
197,940GZZLUQBY,Queensbury,51.5942,-0.2861,1,4
198,940GZZLUQWY,Queensway,51.5107,-0.1877,1,1
199,940GZZLURVP,Ravenscourt Park,51.4942,-0.2359,1,2
200,940GZZLURYL,Rayners Lane,51.5753,-0.3714,2,5
201,940GZZLURBG,Redbridge,51.5763,0.0454,1,4
202,940GZZLURGP,Regent's Park,51.5234,-0.1466,1,1
203,HUBRMD,Richmond,51.4633,-0.3013,1,4
204,HUBRIC,Rickmansworth,51.6404,-0.4733,1,7
205,940GZZLURVY,Roding Valley,51.6171,0.0439,1,4
206,910GRTHERHI,Rotherhithe,51.501,-0.0525,1,2
207,940GZZDLRAL,Royal Albert,51.5084,0.0465,1,3
208,940GZZLURYO,Royal Oak,51.519,-0.188,1,2
209,940GZZDLRVC,Royal Victoria,51.5091,0.0181,1,3
210,940GZZLURSP,Ruislip,51.5715,-0.4213,2,6
211,940GZZLURSG,Ruislip Gardens,51.5606,-0.4103,1,5
212,940GZZLURSM,Ruislip Manor,51.5732,-0.4125,2,6
213,940GZZLURSQ,Russell Square,51.523,-0.1244,1,1
214,HUBSVS,Seven Sisters,51.5822,-0.0749,1,3
215,HUBSDE,Shadwell,51.5117,-0.056,2,2
216,940GZZLUSSQ,Sloane Square,51.4924,-0.1565,2,1
